Time_sec,Y_S,phase
7730.37,0.0043757,
7730.64,0.00437534,
7730.92,0.00437504,
7731.18,0.00437456,
7731.45,0.00437431,
7731.71,0.0043742,
7731.97,0.00437346,
7732.24,0.00437324,
7732.5,0.00437202,
7732.76,0.00437236,
7733.03,0.00437177,
7733.3,0.00437229,
7733.56,0.0043725,
7733.84,0.00437211,
7734.12,0.00437272,
7734.4,0.00437344,
7734.66,0.00437255,
7734.93,0.00437356,
7735.2,0.00437385,
7735.46,0.00437411,
7735.73,0.00437289,
7736,0.00437447,
7736.26,0.00437462,
7736.52,0.004375,
7736.8,0.00437437,
7737.07,0.0043749,
7737.35,0.00437589,
7737.62,0.00437626,
7737.89,0.00437663,
